timestamp,energy_consumption
2023-01-01,73.52
2023-01-02,82.82
2023-01-03,91.8
2023-01-04,92.79
2023-01-05,78.37
2023-01-06,81.66
2023-01-07,72.87
2023-01-08,70.7
2023-01-09,88.27
2023-01-10,84.15
2023-01-11,92.89
2023-01-12,92.47
2023-01-13,88.99
2023-01-14,78.39
2023-01-15,75.19
2023-01-16,84.67
2023-01-17,90.92
2023-01-18,84.39
2023-01-19,93.7
2023-01-20,89.19
2023-01-21,72.65
2023-01-22,70.31
2023-01-23,95.97
2023-01-24,89.23
2023-01-25,88.02
2023-01-26,88.56
2023-01-27,93.15
2023-01-28,76.49
2023-01-29,76.9
2023-01-30,93.17
2023-01-31,101.91
2023-02-01,89.36
2023-02-02,89.03
2023-02-03,87.73
2023-02-04,79.08
2023-02-05,81.86
2023-02-06,91.86
2023-02-07,88.46
2023-02-08,88.76
2023-02-09,96.37
2023-02-10,97.07
2023-02-11,80.31
2023-02-12,74.51
2023-02-13,95.25
2023-02-14,94.92
2023-02-15,95.69
2023-02-16,99.22
2023-02-17,96.25
2023-02-18,82.79
2023-02-19,80.01
2023-02-20,97.4
2023-02-21,99.39
2023-02-22,89.24
2023-02-23,95.21
2023-02-24,94.75
2023-02-25,78.21
2023-02-26,80.33
2023-02-27,105.48
2023-02-28,93.99
2023-03-01,103.47
2023-03-02,90.53
2023-03-03,97.58
2023-03-04,84.39
2023-03-05,86.83
2023-03-06,103.78
2023-03-07,104.52
2023-03-08,99.14
2023-03-09,98.91
2023-03-10,105.84
2023-03-11,84.93
2023-03-12,79.85
2023-03-13,96.91
2023-03-14,98.32
2023-03-15,105.75
2023-03-16,104.32
2023-03-17,107.41
2023-03-18,86.18
2023-03-19,89.46
2023-03-20,108.15
2023-03-21,103.83
2023-03-22,108.02
2023-03-23,102.78
2023-03-24,104.63
2023-03-25,88.9
2023-03-26,85.19
2023-03-27,109.97
2023-03-28,105.55
2023-03-29,108.32
2023-03-30,111.02
2023-03-31,111.22
2023-04-01,96.68
2023-04-02,93.22
2023-04-03,107.96
2023-04-04,110.04
2023-04-05,102.37
2023-04-06,103.93
2023-04-07,104.92
2023-04-08,90.91
2023-04-09,98.25
2023-04-10,108.09
2023-04-11,111.09
2023-04-12,119.83
2023-04-13,111.92
2023-04-14,117.74
2023-04-15,93.74
2023-04-16,97.74
2023-04-17,110.37
2023-04-18,113.78
